"sample_id","tube_box","tube_size_ml","isotope_id","lab_id","analysis_number","collected_datetime","lake","lake_d13c_baseline","lake_d15n_baseline","sample_latitude","sample_longitude","type_of_material","method_of_collection","preservative","scientific_name","common_name","individuals_count","depth","fish_total_length_mm","fish_weight_g","in_oven_datetime","oven_temperature_c","out_oven_datetime","empty","sample_net_weight_mg","total_c_ug","total_n_ug","d13c","d15n","d13c_baseline_corrected","d15n_baseline_corrected","c_comment","n_comment"
"AAA","2018-A","1.5","BRAVO-B-08",1667922,537228,2018-06-05 09:31:00,"Logging",-21.152,0.985333333333333,"48.740802","-114.130354","Fish","Fyke","95% ethanol","Richardsonius balteatus","Redside shiner","1",NA,58,3,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,0.903,373.76,143.23,-21.89,3.12,-0.738,2.13466666666667,"",""
"AAB","2018-A","1.5","BRAVO-B-10",1667924,537230,2018-06-05 09:31:00,"Logging",-21.152,0.985333333333333,"48.740802","-114.130354","Fish","Fyke","95% ethanol","Richardsonius balteatus","Redside shiner","1",NA,40,0.54,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,0.925,424.87,125.61,-25.32,7.17,-4.168,6.18466666666667,"",""
"AAC","2018-A","1.5",NA,NA,NA,2018-06-05 09:31:00,"Logging",-21.152,0.985333333333333,"48.740802","-114.130354","Fish","Fyke","95% ethanol","Richardsonius balteatus","Redside shiner","1",NA,39,0.55,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAD","2018-A","1.5","BRAVO-B-09",1667923,537229,2018-06-05 09:31:00,"Logging",-21.152,0.985333333333333,"48.740802","-114.130354","Fish","Fyke","95% ethanol","Richardsonius balteatus","Redside shiner","1",NA,45,1.5,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,1.062,491.02,135.22,-26.72,6.37,-5.568,5.38466666666667,"",""
"AAE","2018-A","1.5",NA,NA,NA,2018-06-05 09:31:00,"Logging",-21.152,0.985333333333333,"48.740802","-114.130354","Fish","Fyke","95% ethanol","Richardsonius balteatus","Redside shiner","1",NA,37,1.3,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAF","2018-A","1.5","BRAVO-B-05",1667919,537225,2018-06-05 09:31:00,"Logging",-21.152,0.985333333333333,"48.740802","-114.130354","Fish","Fyke","95% ethanol","Richardsonius balteatus","Redside shiner","1",NA,76,4.41,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,0.945,441.86,119.76,-25.04,7.39,-3.888,6.40466666666667,"",""
"AAG","2018-A","1.5","BRAVO-B-07",1667921,537227,2018-06-05 09:31:00,"Logging",-21.152,0.985333333333333,"48.740802","-114.130354","Fish","Fyke","95% ethanol","Richardsonius balteatus","Redside shiner","1",NA,60,2.33,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,0.901,359.1,112.05,-23.51,5.27,-2.358,4.28466666666667,"",""
"AAH","2018-A","1.5",NA,NA,NA,2018-06-05 09:31:00,"Logging",-21.152,0.985333333333333,"48.740802","-114.130354","Fish","Fyke","95% ethanol","Richardsonius balteatus","Redside shiner","1",NA,42,0.8,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAI","2018-A","1.5",NA,NA,NA,2018-06-05 09:31:00,"Logging",-21.152,0.985333333333333,"48.740802","-114.130354","Fish","Fyke","95% ethanol","Richardsonius balteatus","Redside shiner","1",NA,38,0.74,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAJ","2018-A","1.5",NA,NA,NA,2018-06-05 09:31:00,"Logging",-21.152,0.985333333333333,"48.740802","-114.130354","Fish","Fyke","95% ethanol","Richardsonius balteatus","Redside shiner","1",NA,38,0.93,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAK","2018-A","1.5",NA,NA,NA,2018-06-05 09:31:00,"Logging",-21.152,0.985333333333333,"48.740802","-114.130354","Fish","Fyke","95% ethanol","Richardsonius balteatus","Redside shiner","1",NA,32,0.55,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAL","2018-A","1.5",NA,NA,NA,2018-06-05 09:31:00,"Logging",-21.152,0.985333333333333,"48.740802","-114.130354","Fish","Fyke","95% ethanol","Richardsonius balteatus","Redside shiner","1",NA,26,0.16,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAM","2018-A","1.5",NA,NA,NA,2018-06-05 09:31:00,"Logging",-21.152,0.985333333333333,"48.740802","-114.130354","Fish","Fyke","95% ethanol","Richardsonius balteatus","Redside shiner","1",NA,45,NA,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAN","2018-A","1.5",NA,NA,NA,2018-06-05 09:31:00,"Logging",-21.152,0.985333333333333,"48.740802","-114.130354","Fish","Fyke","95% ethanol","Ptychocheilus oregonensis","Northern pikeminnow","1",NA,178,50,2018-10-29 16:41:00,60,2018-11-01 16:34:00,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
