Lake_name,Lake_elevation,Lake_area,Lake_depth,Invasion_category,Sample_type,Sample_origin,Collected_date,Collected_year,Collected_month_number,Collected_month_name_long,Collected_month_name_short,Littoral_zoobenthic_macroinvert_community_sample,Collected_time,Transect,Lat,Long,Depth,Total _count,Vial_count,Functional_feeding_group,Method_of_take,Common_name,Scientific_name,Total_length_mm,Weight_g,Tube_box,Tube_ID,Tube_size_ml,Preservative,Remove from case,Approx weight of tube (g),Notes1,Notes2,Wet weight tube (g),In_oven_date,Oven_temp_(C),Test1 date,Test1 weight tube (g),Test2 date,Test2 weight tube (g),Daily change,Test 3 date,Test 3 weight (g),Daily change,Out_oven_date,Dry_time_(h),Est pre-powder dry sample in tube (g),Est # isotope samples in tube,Powder complete date,Post-powder Powder+tube weight (g),Powder lost (g),Powder available for isotope caps (g),Est number of isotope caps possible from powder,Cell well tray,Mixed sample? Y/N,Count of individuals,Weight of individual,Mixed with which tube?,Powder weight contributed (mg),Isotope sample weight (mg),Empty?,Well_Row,Well_Column,Isotope_sample_ID_(year+tray+x+y),Isotope_sample_complete_date,13C,15N
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,9:31,NA,48.740802,-114.130354,NA,1,1,NA,Fyke,Redside shiner,Richardsonius balteatus,58,3,2018-A,AAA,1.5,Ethanol,NA,0.9862,,,2.266,10/29/2018 16:41,60,10/30/2018 15:14,1.091,10/31/2018 16:25,1.091,0.00%,11/1/2018 15:50,1.091,0.00%,11/1/2018 16:34,72,0.1048,104.8,11/23/2018,1.091,0,0.1048,104.8,2018-NOV-21-001,N,,,NA,0.903,0.903,N,A,1,2018-NOV-21-001-A-1,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,9:31,NA,48.740802,-114.130354,NA,1,1,NA,Fyke,Redside shiner,Richardsonius balteatus,40,0.54,2018-A,AAB,1.5,Ethanol,NA,0.9862,,,2.345,10/29/2018 16:41,60,10/30/2018 15:14,1.108,10/31/2018 16:25,1.108,0.00%,11/1/2018 15:50,1.108,0.00%,11/1/2018 16:34,72,0.1218,121.8,11/23/2018,1.108,0,0.1218,121.8,2018-NOV-21-001,N,,,NA,0.925,0.925,N,A,2,2018-NOV-21-001-A-2,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,9:31,NA,48.740802,-114.130354,NA,1,1,NA,Fyke,Redside shiner,Richardsonius balteatus,39,0.55,2018-A,AAC,1.5,Ethanol,NA,0.9862,,,2.384,10/29/2018 16:41,60,10/30/2018 15:14,1.096,10/31/2018 16:25,1.095,0.09%,11/1/2018 15:50,1.095,0.00%,11/1/2018 16:34,72,0.1088,108.8,11/23/2018,1.095,0,0.1088,108.8,2018-NOV-21-001,N,,,NA,0.986,0.986,N,A,3,2018-NOV-21-001-A-3,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,9:31,NA,48.740802,-114.130354,NA,1,1,NA,Fyke,Redside shiner,Richardsonius balteatus,45,1.5,2018-A,AAD,1.5,Ethanol,NA,0.9862,,,2.322,10/29/2018 16:41,60,10/30/2018 15:14,1.11,10/31/2018 16:25,1.11,0.00%,11/1/2018 15:50,1.11,0.00%,11/1/2018 16:34,72,0.1238,123.8,11/23/2018,1.11,0,0.1238,123.8,2018-NOV-21-001,N,,,NA,1.062,1.062,N,A,4,2018-NOV-21-001-A-4,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,9:31,NA,48.740802,-114.130354,NA,1,1,NA,Fyke,Redside shiner,Richardsonius balteatus,37,1.3,2018-A,AAE,1.5,Ethanol,NA,0.9862,,,2.076,10/29/2018 16:41,60,10/30/2018 15:14,1.119,10/31/2018 16:25,1.119,0.00%,11/1/2018 15:50,1.119,0.00%,11/1/2018 16:34,72,0.1328,132.8,11/23/2018,1.119,0,0.1328,132.8,2018-NOV-21-001,N,,,NA,1.049,1.049,N,A,5,2018-NOV-21-001-A-5,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,9:31,NA,48.740802,-114.130354,NA,1,1,NA,Fyke,Redside shiner,Richardsonius balteatus,76,4.41,2018-A,AAF,1.5,Ethanol,NA,0.9862,,,2.398,10/29/2018 16:41,60,10/30/2018 15:14,1.126,10/31/2018 16:25,1.126,0.00%,11/1/2018 15:50,1.126,0.00%,11/1/2018 16:34,72,0.1398,139.8,11/23/2018,1.126,0,0.1398,139.8,2018-NOV-21-001,N,,,NA,0.945,0.945,N,A,6,2018-NOV-21-001-A-6,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,9:31,NA,48.740802,-114.130354,NA,1,1,NA,Fyke,Redside shiner,Richardsonius balteatus,60,2.33,2018-A,AAG,1.5,Ethanol,NA,0.9862,,,2.481,10/29/2018 16:41,60,10/30/2018 15:14,1.154,10/31/2018 16:25,1.151,0.26%,11/1/2018 15:50,1.151,0.00%,11/1/2018 16:34,72,0.1648,164.8,11/23/2018,1.151,0,0.1648,164.8,2018-NOV-21-001,N,,,NA,0.901,0.901,N,A,7,2018-NOV-21-001-A-7,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,9:31,NA,48.740802,-114.130354,NA,1,1,NA,Fyke,Redside shiner,Richardsonius balteatus,42,0.8,2018-A,AAH,1.5,Ethanol,NA,0.9862,,,2.408,10/29/2018 16:41,60,10/30/2018 15:14,1.095,10/31/2018 16:25,1.094,0.09%,11/1/2018 15:50,1.094,0.00%,11/1/2018 16:34,72,0.1078,107.8,11/23/2018,1.094,0,0.1078,107.8,2018-NOV-21-001,N,,,NA,0.924,0.924,N,A,8,2018-NOV-21-001-A-8,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,9:31,NA,48.740802,-114.130354,NA,1,1,NA,Fyke,Redside shiner,Richardsonius balteatus,38,0.74,2018-A,AAI,1.5,Ethanol,NA,0.9862,,,2.424,10/29/2018 16:41,60,10/30/2018 15:14,1.131,10/31/2018 16:25,1.13,0.09%,11/1/2018 15:50,1.13,0.00%,11/1/2018 16:34,72,0.1438,143.8,11/23/2018,1.13,0,0.1438,143.8,2018-NOV-21-001,N,,,NA,1.056,1.056,N,A,9,2018-NOV-21-001-A-9,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,9:31,NA,48.740802,-114.130354,NA,1,1,NA,Fyke,Redside shiner,Richardsonius balteatus,38,0.93,2018-A,AAJ,1.5,Ethanol,NA,0.9862,,,2.523,10/29/2018 16:41,60,10/30/2018 15:14,1.118,10/31/2018 16:25,1.117,0.09%,11/1/2018 15:50,1.117,0.00%,11/1/2018 16:34,72,0.1308,130.8,11/23/2018,1.117,0,0.1308,130.8,2018-NOV-21-001,N,,,NA,0.999,0.999,N,A,10,2018-NOV-21-001-A-10,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,9:31,NA,48.740802,-114.130354,NA,1,1,NA,Fyke,Redside shiner,Richardsonius balteatus,32,0.55,2018-A,AAK,1.5,Ethanol,NA,0.9862,,,2.478,10/29/2018 16:41,60,10/30/2018 15:14,1.111,10/31/2018 16:25,1.109,0.18%,11/1/2018 15:50,1.109,0.00%,11/1/2018 16:34,72,0.1228,122.8,11/23/2018,1.109,0,0.1228,122.8,2018-NOV-21-001,N,,,NA,0.97,0.97,N,A,11,2018-NOV-21-001-A-11,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,9:31,NA,48.740802,-114.130354,NA,1,1,NA,Fyke,Redside shiner,Richardsonius balteatus,26,0.16,2018-A,AAL,1.5,Ethanol,NA,0.9862,,,2.402,10/29/2018 16:41,60,10/30/2018 15:14,1.134,10/31/2018 16:25,1.133,0.09%,11/1/2018 15:50,1.133,0.00%,11/1/2018 16:34,72,0.1468,146.8,11/23/2018,1.133,0,0.1468,146.8,2018-NOV-21-001,N,,,NA,0.924,0.924,N,B,1,2018-NOV-21-001-B-1,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,9:31,NA,48.740802,-114.130354,NA,1,1,NA,Fyke,Redside shiner,Richardsonius balteatus,45,,2018-A,AAM,1.5,Ethanol,NA,0.9862,,,2.354,10/29/2018 16:41,60,10/30/2018 15:14,1.092,10/31/2018 16:25,1.091,0.09%,11/1/2018 15:50,1.091,0.00%,11/1/2018 16:34,72,0.1048,104.8,11/23/2018,1.091,0,0.1048,104.8,2018-NOV-21-001,N,,,NA,0.979,0.979,N,B,2,2018-NOV-21-001-B-2,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,9:31,NA,48.740802,-114.130354,NA,1,1,NA,Fyke,Northern pikeminnow,Ptychocheilus oregonensis,178,50,2018-A,AAN,1.5,Ethanol,NA,0.9862,,,2.2,10/29/2018 16:41,60,10/30/2018 15:14,1.076,10/31/2018 16:25,1.076,0.00%,11/1/2018 15:50,1.076,0.00%,11/1/2018 16:34,72,0.0898,89.8,11/23/2018,1.076,0,0.0898,89.8,2018-NOV-21-001,N,,,NA,0.906,0.906,N,B,3,2018-NOV-21-001-B-3,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,12:39,NA,NA,NA,NA,1,1,NA,Mono gill net USGS,Longnose sucker,Catostomus catostomus,239,115,2018-A,AAO,1.5,Ethanol,NA,0.9862,,,2.241,10/29/2018 16:41,60,10/30/2018 15:14,1.076,10/31/2018 16:25,1.076,0.00%,11/1/2018 15:50,1.076,0.00%,11/1/2018 16:34,72,0.0898,89.8,11/23/2018,1.076,0,0.0898,89.8,2018-NOV-21-001,N,,,NA,1.018,1.018,N,B,4,2018-NOV-21-001-B-4,11/23/2018,,
Logging,1369,329,80,Invaded,Fish,Autochthonous,6/5/2018,2018,6,June,Jun,NO,12:39,NA,NA,NA,NA,1,1,NA,Mono gill net USGS,Longnose sucker,Catostomus catostomus,339,343,2018-A,AAP,1.5,Ethanol,NA,0.9862,,,2.358,10/29/2018 16:41,60,10/30/2018 15:14,1.09,10/31/2018 16:25,1.089,0.09%,11/1/2018 15:50,1.089,0.00%,11/1/2018 16:34,72,0.1028,102.8,11/23/2018,1.089,0,0.1028,102.8,2018-NOV-21-001,N,,,NA,1.095,1.095,N,B,5,2018-NOV-21-001-B-5,11/23/2018,,
