,Tube_ID,row_counter,Lake_name,Invasion_category,Sample_type,Sample_origin,Collected_year,Collected_month_number,Littoral_zoobenthic_macroinvert_community_sample,Transect,Lat,Long,Sample_depth,Total_count,Vial_count,Functional_feeding_group,Method_of_take,real.name,Functional_group,Common_name,Scientific_name,Total_length_mm,Weight_g,Tube_box,Tube_size_ml,Preservative,Isotope_sample_weight_mg,Davis_ID_long,d13C,Total.C..µg.,d15N,Total.N..µg.,Type.of.Material,Sample.Weight..mg..from.Sample.List,Internal.ID,Lake_max_depth_m,Lake_surface_elev_m,Current_conversion,Secchi_m,Surface_area_ha,n,d13C_baseline,d13C_base_se,d15N_baseline,d15N_base_se,d13C_corr,d15N_corr,Lake_elevation,Lake_area,Lake_depth,Collected_date,Collected_month_name_long,Collected_month_name_short,Collected_time,Depth,Total._count,Remove.from.case,Approx.weight.of.tube..g.,Notes1,Notes2,Wet.weight.tube..g.,In_oven_date,Oven_temp_C,Test1.date,Test1.weight.tube..g.,Test2.date,Test2.weight.tube..g.,Daily.change,Test.3.date,Test.3.weight..g.,Daily.change.1,Out_oven_date,Dry_time_h,Est.pre.powder.dry.sample.in.tube..g.,Est...isotope.samples.in.tube,Powder.complete.date,Post.powder.Powder.tube.weight..g.,Powder.lost..g.,Powder.available.for.isotope.caps..g.,Est.number.of.isotope.caps.possible.from.powder,Cell.well.tray,Mixed.sample..Y.N,Count.of.individuals,Weight.of.individual,Mixed.with.which.tube.,Powder.weight.contributed..mg.,Empty.,Well_Row,Well_Column,Isotope_sample_ID_.year.tray.x.y.,Isotope_sample_complete_date
1,1,1011,Quartz,Mid,Fish,Autochthonous,2018,6,NO,NA,NA,NA,NA,1,1,NA,Mono gill net USNPS,Bull trout,Bull trout,Bull trout,Salvelinus confluentus,223,82,2018-D,1.5,Ethanol,1.037,CHARLIE-F-03,-25.39,470.2,8.47,152.56,Fish,1.037,1668061,84,1345,0.61,11,352,15,-23.418,0.48205631,1.051333333,0.219540357,-1.972,7.418666667,1345,352,84,6/5/2018,June,Jun,11:00,NA,1,NA,0.9862,Samples in D-box,,2.489,10/30/2018 18:09,60,11/1/2018 16:42,1.231,11/2/2018 15:44,1.207,1.95%,11/3/2018 16:22,1.207,0.00%,11/3/2018 16:22,94,0.2208,220.8,11/23/2018,NA,1.207,-0.9862,-986.2,2018-NOV-23-004,N,,,NA,1.037,N,A,9,2018-NOV-23-004-A-9,11/23/2018
2,19-001,484,Kintla,Late,Invertebrate,Autochthonous,2019,8,YES,NA,48.943949,-114.34524,0.5,7,7,Collector-gatherer-scraper,D-net,Physidae,Littoral forage Invertebrate,Physid snail,Physidae,NA,NA,2019-15-1,15,Ethanol,1.004,HOTEL-D-12,-24.05,477.11,0.66,101.1,Invertebrate,1.004,1668526,120,1221,0.98,14.33,1039,10,-27.162,0.453310784,0.469,0.220254651,3.112,0.191,1221,1039,120,8/1/2019,August,Aug,NA,0.5,7,DONE 8/29/19 cw,NA,,Removed from case 8/29/19 cw,,8/29/2019 12:15,60,,,,NA,,,NA,,9/2/2019 15:00,,,,,NA,,NA,NA,2019-NOV-02-002,N,2,691.138,NA,1.061,N,H,2,2019-NOV-02-002-H-2,11/2/2019
7,19-001,483,Kintla,Late,Invertebrate,Autochthonous,2019,8,YES,NA,48.943949,-114.34524,0.5,7,7,Collector-gatherer-scraper,D-net,Physidae,Littoral forage Invertebrate,Physid snail,Physidae,NA,NA,2019-15-1,15,Ethanol,0.933,HOTEL-D-11,-24.11,455.66,0.71,96.06,Invertebrate,0.933,1668525,120,1221,0.98,14.33,1039,10,-27.162,0.453310784,0.469,0.220254651,3.052,0.241,1221,1039,120,8/1/2019,August,Aug,NA,0.5,7,DONE 8/29/19 cw,NA,,Removed from case 8/29/19 cw,,8/29/2019 12:15,60,,,,NA,,,NA,,9/2/2019 15:00,,,,,NA,,NA,NA,2019-NOV-02-002,N,2,691.138,NA,1.061,N,H,2,2019-NOV-02-002-H-2,11/2/2019
12,19-001,492,Kintla,Late,Invertebrate,Autochthonous,2019,8,YES,NA,48.943949,-114.34524,0.5,7,7,Collector-gatherer-scraper,D-net,Physidae,Littoral forage Invertebrate,Physid snail,Physidae,NA,NA,2019-15-1,15,Ethanol,1.061,HOTEL-E-01,-24.2,507.44,0.63,102.09,Invertebrate,1.061,1668527,120,1221,0.98,14.33,1039,10,-27.162,0.453310784,0.469,0.220254651,2.962,0.161,1221,1039,120,8/1/2019,August,Aug,NA,0.5,7,DONE 8/29/19 cw,NA,,Removed from case 8/29/19 cw,,8/29/2019 12:15,60,,,,NA,,,NA,,9/2/2019 15:00,,,,,NA,,NA,NA,2019-NOV-02-002,N,2,691.138,NA,1.061,N,H,2,2019-NOV-02-002-H-2,11/2/2019
17,19-002,824,Logging,Mid,Invertebrate,Autochthonous,2019,8,YES,NA,48.735076,-114.135247,0.5,1,1,Collector-gatherer-scraper,D-net,Physidae,Littoral forage Invertebrate,Physid snail,Physidae,NA,NA,2019-15-1,15,Ethanol,1.029,HOTEL-E-05,-20.85,385.99,1.94,115.18,Invertebrate,1.029,1668531,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,0.302,0.954666667,1369,329,80,8/2/2019,August,Aug,NA,0.5,tbd,DONE 8/29/19 cw,NA,,Removed from case 8/29/19 cw,,8/29/2019 12:15,60,,,,NA,,,NA,,9/2/2019 15:00,,,,,NA,,NA,NA,2019-NOV-02-002,N,,,NA,1.079,N,H,11,2019-NOV-02-002-H-11,11/2/2019
25,19-002,743,Logging,Mid,Invertebrate,Autochthonous,2019,8,YES,NA,48.735076,-114.135247,0.5,1,1,Collector-gatherer-scraper,D-net,Physidae,Littoral forage Invertebrate,Physid snail,Physidae,NA,NA,2019-15-1,15,Ethanol,0.961,HOTEL-E-04,-19.93,329.99,1.46,93.41,Invertebrate,0.961,1668530,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,1.222,0.474666667,1369,329,80,8/2/2019,August,Aug,NA,0.5,tbd,DONE 8/29/19 cw,NA,,Removed from case 8/29/19 cw,,8/29/2019 12:15,60,,,,NA,,,NA,,9/2/2019 15:00,,,,,NA,,NA,NA,2019-NOV-02-002,N,,,NA,1.079,N,H,11,2019-NOV-02-002-H-11,11/2/2019
33,19-002,782,Logging,Mid,Invertebrate,Autochthonous,2019,8,YES,NA,48.735076,-114.135247,0.5,1,1,Collector-gatherer-scraper,D-net,Physidae,Littoral forage Invertebrate,Physid snail,Physidae,NA,NA,2019-15-1,15,Ethanol,1.042,HOTEL-E-03,-19.85,502.77,1.6,144.12,Invertebrate,1.042,1668529,60,1161,0.78,7.33,581,15,-21.152,0.784331805,0.985333333,0.179713705,1.302,0.614666667,1369,329,80,8/2/2019,August,Aug,NA,0.5,tbd,DONE 8/29/19 cw,NA,,Removed from case 8/29/19 cw,,8/29/2019 12:15,60,,,,NA,,,NA,,9/2/2019 15:00,,,,,NA,,NA,NA,2019-NOV-02-002,N,,,NA,1.079,N,H,11,2019-NOV-02-002-H-11,11/2/2019
41,19-003,1437,Trout,Reference,Invertebrate,Autochthonous,2019,7,NO,NA,48.687855,-113.904213,5,NA,NA,Filterer-collector-phytoplanktivore,Zooplankton tow,Zooplankton,Pelagic forage Invertebrate,Zooplankton,Zooplankton,NA,NA,2019-50-1,50,Water,0.889,HOTEL-E-06,-30.7,96.99,0.12,9.23,Invertebrate,0.889,1668532,50,1189,0,9.67,114,15,-23.84733333,0.548539591,1.038,0.154149587,-6.852666667,-0.918,1189,114,50,7/29/2019,July,Jul,NA,5,NA,NA,NA,Zoop 1,,,8/29/2019 12:45,60,,,,NA,,,NA,,9/2/2019 13:30,,,,,NA,,NA,NA,2019-NOV-02-002,N,,,NA,0.889,Y,F,3,2019-NOV-02-002-F-3,11/2/2019
42,19-005,1438,Trout,Reference,Invertebrate,Autochthonous,2019,7,NO,NA,48.687855,-113.904213,5,NA,NA,Filterer-collector-phytoplanktivore,Zooplankton tow,Zooplankton,Pelagic forage Invertebrate,Zooplankton,Zooplankton,NA,NA,2019-50-1,50,Water,0.244,HOTEL-E-08,-30.16,78.37,0.6,8.52,Invertebrate,0.244,1668534,50,1189,0,9.67,114,15,-23.84733333,0.548539591,1.038,0.154149587,-6.312666667,-0.438,1189,114,50,7/29/2019,July,Jul,NA,5,NA,NA,NA,Zoop 3,,,8/29/2019 12:45,60,,,,NA,,,NA,,9/2/2019 13:30,,,,,NA,,NA,NA,2019-NOV-02-002,N,,,NA,0.244,Y,E,9,2019-NOV-02-002-E-9,11/2/2019
43,19-017,153,Bowman,Late,Periphyton,Autochthonous,2019,6,NO,NA,48.828224,-114.194158,0.5,NA,NA,NA,Brush,Periphyton,Littoral forage Periphyton,Periphyton,Periphyton,NA,NA,2019-15-1,15,Water,10.031,INDIA-C-10,-19.04,1015.2,0.06,70.63,Plant,10.031,1668608,77,1228,0.91,13.33,910,15,-28.276,0.256377326,0.964,0.310291414,9.236,-0.904,1228,910,77,6/19/2019,June,Jun,NA,0.5,NA,NA,NA,Peri 1,,,8/29/2019 12:15,60,,,,NA,,,NA,,9/2/2019 15:00,,,,,NA,,NA,NA,2019-NOV-10-001,N,,,NA,10.031,N,A,8,2019-NOV-10-001-A-8,11/10/2019
46,19-017,206,Bowman,Late,Periphyton,Autochthonous,2019,6,NO,NA,48.828224,-114.194158,0.5,NA,NA,NA,Brush,Periphyton,Littoral forage Periphyton,Periphyton,Periphyton,NA,NA,2019-15-1,15,Water,10.082,INDIA-D-01,-19.92,421.22,0.78,31.28,Plant,10.082,1668611,77,1228,0.91,13.33,910,15,-28.276,0.256377326,0.964,0.310291414,8.356,-0.184,1228,910,77,6/19/2019,June,Jun,NA,0.5,NA,NA,NA,Peri 1,,,8/29/2019 12:15,60,,,,NA,,,NA,,9/2/2019 15:00,,,,,NA,,NA,NA,2019-NOV-10-001,N,,,NA,10.031,N,A,8,2019-NOV-10-001-A-8,11/10/2019
